0	0.174502	0.136381	0.119055
1	0.079824	0.086626	0.083472
2	0.047831	0.040541	0.036473
3	0.037222	0.032578	0.031854
4	0.031792	0.029208	0.027557
5	0.026084	0.023585	0.021943
6	0.020915	0.019005	0.019416
7	0.018331	0.016836	0.017591
8	0.016283	0.014948	0.016260
9	0.014957	0.013872	0.015164
10	0.013854	0.013292	0.014208
11	0.012879	0.012616	0.013295
12	0.012206	0.012021	0.012831
13	0.011582	0.011993	0.012130
14	0.011279	0.011125	0.011573
15	0.010457	0.010637	0.011148
16	0.010486	0.010336	0.010352
17	0.010383	0.010036	0.009786
18	0.009856	0.009580	0.009452
19	0.009493	0.009493	0.008769
20	0.009020	0.008685	0.008082
21	0.008819	0.008214	0.008050
22	0.008406	0.008260	0.007737
23	0.008064	0.007897	0.007399
24	0.007393	0.007689	0.007080
25	0.006945	0.007404	0.006724
26	0.006763	0.007247	0.006797
27	0.006594	0.007238	0.006548
28	0.006043	0.006641	0.006388
29	0.005710	0.006534	0.006445
30	0.005689	0.006272	0.006226
31	0.005482	0.006189	0.005854
32	0.005301	0.005721	0.005795
33	0.005246	0.005698	0.005671
34	0.005027	0.005459	0.005617
35	0.005091	0.005087	0.005544
36	0.004868	0.005020	0.005644
37	0.004701	0.005023	0.005397
38	0.004573	0.004648	0.005370
39	0.004416	0.004454	0.005173
40	0.004415	0.004454	0.005201
41	0.004352	0.004329	0.004977
42	0.004292	0.004253	0.004689
43	0.004434	0.004002	0.004714
44	0.004466	0.003963	0.004669
45	0.004370	0.004032	0.004648
46	0.004185	0.003888	0.004555
47	0.003925	0.003972	0.004222
48	0.003972	0.003861	0.004361
49	0.003923	0.003900	0.004358
50	0.003815	0.003865	0.004164
51	0.003833	0.003842	0.004297
52	0.003751	0.003726	0.004335
53	0.003669	0.003762	0.004281
54	0.003685	0.003722	0.004247
55	0.003402	0.003737	0.004146
56	0.003587	0.003669	0.004085
57	0.003246	0.003552	0.003943
58	0.003190	0.003359	0.003948
59	0.003094	0.003415	0.003722
60	0.003190	0.003459	0.003722
61	0.003068	0.003342	0.003730
62	0.003133	0.003356	0.003665
63	0.003258	0.003297	0.003587
64	0.003238	0.003340	0.003452
65	0.003230	0.003231	0.003365
66	0.003235	0.003249	0.003308
67	0.003187	0.003139	0.003390
68	0.003194	0.003190	0.003221
69	0.002986	0.003142	0.003210
70	0.002836	0.003044	0.003180
71	0.002916	0.002964	0.002977
72	0.003052	0.003004	0.002972
73	0.003135	0.002845	0.002913
74	0.002815	0.002657	0.002744
75	0.002904	0.002573	0.002806
76	0.002717	0.002641	0.002783
77	0.002699	0.002674	0.002966
78	0.002735	0.002762	0.002907
79	0.002639	0.002735	0.002938
80	0.002662	0.002648	0.002744
81	0.002626	0.002767	0.002678
82	0.002500	0.002628	0.002758
83	0.002484	0.002488	0.002582
84	0.002452	0.002528	0.002514
85	0.002413	0.002361	0.002440
86	0.002552	0.002342	0.002466
87	0.002336	0.002388	0.002429
88	0.002315	0.002279	0.002477
89	0.002523	0.002269	0.002381
90	0.002290	0.002370	0.002238
91	0.002281	0.002340	0.002221
92	0.002297	0.002224	0.002368
